gene1,gene2,value
AT1G61380,AT1G61360,0.28509891426051936
AT2G44490,AT2G36690,0.2846839953636036
AT3G49780,AT5G67450,0.28462112991075217
AT5G37600,AT2G02220,0.2843683333958098
AT3G49780,AT2G39200,0.2841715252349959
AT2G25000,AT3G26210,0.2838636109738859
AT3G26210,AT2G25000,0.2838636109738859
AT5G50200,AT5G39580,0.2834877378970708
AT4G01700,AT2G44370,0.28341257453741897
AT5G48430,AT5G66420,0.28254016555526484
AT5G66420,AT5G48430,0.28254016555526484
AT3G50470,AT2G05920,0.28249713854961245
AT2G05920,AT3G50470,0.28249713854961245
AT3G21080,AT2G17740,0.2824228981308925
AT1G02450,AT2G44370,0.2822339831550333
AT5G66420,AT4G01700,0.2813235347334833
AT4G01700,AT5G66420,0.2813235347334833
AT3G26210,AT1G49000,0.2807213278989336
AT2G37710,AT2G02220,0.2800793340853496
AT3G50470,AT3G48650,0.2799712223607653
AT3G48650,AT3G50470,0.2799712223607653
AT5G37600,AT5G50200,0.2785249684969617
AT5G50200,AT5G37600,0.2785249684969617
AT2G30490,AT2G39530,0.2784347833857865
AT4G34980,AT2G39530,0.2783444318688686
AT1G37130,AT1G15950,0.2780900170667291
AT1G15950,AT1G37130,0.2780900170667291
AT1G70530,AT1G49000,0.2779637138384479
AT2G30490,AT5G50200,0.2773235111378296
AT4G31800,AT4G01250,0.277323510829504
AT4G31550,AT2G36690,0.277193799902653
AT4G24160,AT1G61360,0.2769814831481794
AT5G67360,AT3G49780,0.2767416719518561
AT4G24160,AT5G39580,0.2765129554433328
AT4G01700,AT1G30720,0.27587563740378473
AT3G26210,AT2G44370,0.27572875809145003
AT4G31550,AT1G51800,0.2755900478752729
AT1G70530,AT1G52200,0.2754673838649781
AT3G48650,AT5G67450,0.2753102477760496
AT3G48650,AT2G02220,0.2747440617752597
AT3G21080,AT3G26210,0.2747382953650255
AT3G26210,AT3G21080,0.2747382953650255
AT3G50480,AT5G44585,0.2744833375793938
AT5G37600,AT5G40780,0.273488320125328
AT1G19380,AT1G30730,0.2732614902694768
AT3G50470,AT4G35180,0.2724976909820125
AT4G34980,AT1G65690,0.2724230821898179
AT1G05300,AT5G67450,0.2723791672483198
AT4G01700,AT5G39580,0.27212822217295884
AT3G50470,AT3G50480,0.2708600546591866
AT3G50480,AT3G50470,0.2708600546591866
AT1G64280,AT1G51620,0.2707410466170592
AT2G05920,AT5G67360,0.26963617260075545
AT5G67360,AT2G05920,0.26963617260075545
AT1G19380,AT2G44490,0.26912323210287914
AT1G64280,AT5G39580,0.2685090316438108
AT3G26210,AT3G50470,0.26832906325088235
AT1G77380,AT5G50200,0.26805186613209875
AT4G21410,AT1G61360,0.2677504053689237
AT3G14240,AT3G29034,0.26739014866758826
AT3G50480,AT2G17740,0.2668439546665231
AT3G14240,AT3G49780,0.2668155969170429
AT2G37710,AT1G51620,0.2667153660902657
AT4G31800,AT2G44490,0.2663498164684424
AT3G59880,AT1G19380,0.2649455182934928
AT1G19380,AT3G59880,0.2649455182934928
AT3G50480,AT2G02220,0.2644646461908193
AT5G67360,AT1G52200,0.2641308482592868
AT3G48650,AT4G23210,0.2638436521982759
AT3G50480,AT3G25882,0.26347803921226776
AT3G25882,AT3G50480,0.26347803921226776
AT3G25882,AT3G22060,0.2630855646952863
AT2G37040,AT3G19010,0.2626834753179248
AT4G01700,AT5G48430,0.2624472404413953
AT1G64280,AT1G30730,0.2623286503333331
AT1G77380,AT4G35180,0.2612417305185675
AT5G54160,AT2G37040,0.2605858715221201
AT2G37040,AT5G54160,0.2605858715221201
AT1G05300,AT2G02220,0.2604081130953271
AT5G67360,AT4G20860,0.2598140057965625
AT5G37600,AT4G35180,0.2589348224906909
AT4G01700,AT4G20000,0.25883399358337944
AT5G51750,AT4G31550,0.2587281332520919
AT1G64280,AT4G23210,0.2584313332271371
AT4G31800,AT3G50470,0.2583052840233313
AT2G37710,AT3G50470,0.2580067248780735
AT3G19930,AT1G51680,0.2569552557774488
AT1G51680,AT3G19930,0.2569552557774488
AT3G59880,AT3G22060,0.25655431656065497
AT3G50480,AT4G23210,0.25537640448655763
AT5G37600,AT3G26210,0.2550752146580495
AT5G66420,AT1G51800,0.254725671490202
AT3G25882,AT2G44370,0.25454997448745464
AT4G24160,AT3G48650,0.2544408153598827
AT3G48650,AT4G24160,0.2544408153598827
AT4G34980,AT3G25882,0.25433079846309736
