gene1,gene2,value,rank
AT4G15040,AT1G01900,0.015604226820350875,10
AT1G65490,AT3G19450,0.012803076048751057,10
AT2G25000,AT2G37710,0.01956307119529,10
AT4G38560,AT1G61380,0.01832105837343344,10
AT4G08850,AT2G19190,0.03137198222001907,10
AT5G10450,AT1G15950,0.011204497585105994,10
AT4G00230,AT5G59100,0.01107519722272723,10
AT1G70530,AT4G35180,0.018519453079636625,10
AT1G51680,AT2G19190,0.017771967591996198,10
AT5G40780,AT3G25882,0.021410436390019844,10
AT5G04140,AT5G59080,0.02055414764415259,10
AT1G51620,AT2G02220,0.03688273340167363,10
AT5G67450,AT3G21080,0.022349489081570167,10
AT2G19170,AT5G53460,0.015123645771190875,10
AT3G48650,AT5G67450,0.01958699259244555,10
AT5G06950,AT5G07440,0.008867951923100909,10
AT4G39400,AT5G67360,0.008061727496332091,10
AT5G20480,AT5G58840,0.012261869940458652,10
AT2G30490,AT2G17740,0.02449988257439339,10
AT2G22122,AT1G15950,0.009251445965735045,10
AT5G20480,AT5G45640,0.015924999906583682,10
AT3G52450,AT2G02220,0.037796712432217536,10
AT1G20150,AT5G45640,0.008858137124771369,10
AT1G30600,AT1G20160,0.017242315921029122,10
AT4G28140,AT5G54160,0.013216564261687266,10
AT3G48650,AT1G64280,0.02730655292572199,10
AT5G07440,AT3G19930,0.031235966668579963,10
AT1G66210,AT5G06950,0.010802732544560758,10
AT5G44530,AT2G41220,0.012131441356763148,10
AT5G58840,AT3G19450,0.0089798002167954,11
AT1G66220,AT1G20160,0.00851686802405719,11
AT4G15040,AT5G58820,0.010575042736493349,11
AT2G36690,AT1G61360,0.0508478869595952,11
AT5G07440,AT2G30360,0.020792376436111367,11
AT3G46280,AT2G44370,0.021511596333550414,11
AT1G64280,AT5G20480,0.030537443786443682,11
AT3G14067,AT1G01900,0.010927731256346909,11
AT1G32950,AT5G19660,0.019418551472317427,11
AT1G32950,AT2G39850,0.01460586736579082,11
AT3G21080,AT3G50470,0.014970603496032013,11
AT4G28140,AT5G51750,0.016707152032671688,11
AT4G31550,AT2G44490,0.026948379526329704,11
AT1G66210,AT4G21323,0.013817525929288971,11
AT4G38560,AT3G50480,0.025013527570483696,11
AT5G01540,AT1G51620,0.029448901397905992,11
AT4G24160,AT4G31550,0.018674650776306752,11
AT2G37040,AT4G01700,0.015177493910117109,11
AT5G67450,AT3G50470,0.020603210736971675,11
AT5G44585,AT2G36690,0.0232519687001036,11
AT5G03620,AT1G32970,0.009273998341803298,11
AT5G54160,AT1G51680,0.01603300195493611,11
AT5G50200,AT3G26210,0.0225538959158652,11
AT5G50200,AT1G65690,0.024008897018426786,11
AT4G23210,AT2G37710,0.037340429784412,11
AT4G39400,AT5G45640,0.008006309100304185,11
AT2G41220,AT3G14067,0.015984252664863297,11
AT5G66420,AT1G51680,0.031376912684996226,11
AT5G59130,AT3G25882,0.013342776037369232,11
AT5G66420,AT2G17740,0.017309519336796964,11
AT1G37130,AT4G27730,0.013073241474681014,11
AT1G30600,AT5G59100,0.010723424566712093,11
AT4G26330,AT5G45640,0.008738827017622764,11
AT1G64170,AT5G67450,0.015003230618938568,11
AT2G38900,AT5G51750,0.015434553306756091,11
AT1G62340,AT5G59090,0.009692171833246084,11
AT5G44530,AT5G45650,0.011357828058599296,11
AT1G62340,AT4G20850,0.008125352270591591,11
AT5G53460,AT4G30190,0.01283276551443962,11
AT1G77380,AT1G51890,0.017224531332584284,11
AT5G66420,AT3G19930,0.01932830060798009,11
AT5G67090,AT2G44490,0.00975581615490788,11
AT2G39200,AT2G17740,0.046019892426329284,11
AT1G30730,AT1G30720,0.0414759657295332,11
AT1G14780,AT3G19450,0.02505855858356193,11
AT5G55050,AT1G19380,0.011114802656754626,11
AT2G25000,AT3G21080,0.016876110372321146,11
AT1G04110,AT5G11940,0.014090940052377716,11
AT3G48650,AT3G50470,0.01814850655795408,11
AT5G10450,AT5G59130,0.010519282308540932,11
AT4G21326,AT1G30600,0.010516338116775223,11
AT4G35180,AT2G37710,0.0259488193961406,11
AT4G34980,AT5G59130,0.025849686514203614,11
AT1G14780,AT2G04160,0.014424957199129637,11
AT5G53110,AT1G51890,0.024440314064131486,11
AT4G21870,AT5G53460,0.010352718989247259,11
AT1G04110,AT5G06950,0.009834856704919076,11
AT1G72300,AT5G19660,0.011057905975084695,12
AT4G20430,AT5G58840,0.01016870907165867,12
AT4G20430,AT4G21323,0.009479285349035896,12
AT5G45650,AT1G02450,0.01255554937178118,12
